Datetime,Water Level (m)
2024-02-12 12:00:00,-0.08105525
2024-02-12 13:00:00,-0.042292032
2024-02-12 14:00:00,-0.006702142
2024-02-12 15:00:00,0.014285445
2024-02-12 16:00:00,0.016384635
2024-02-12 17:00:00,0.0044773263
2024-02-12 18:00:00,-0.017065229
2024-02-12 19:00:00,-0.04531205
2024-02-12 20:00:00,-0.07846297
2024-02-12 21:00:00,-0.11079706
2024-02-12 22:00:00,-0.13054739
2024-02-12 23:00:00,-0.12825759
2024-02-13 00:00:00,-0.09695695
2024-02-13 01:00:00,-0.04756444
2024-02-13 02:00:00,0.0015951422
2024-02-13 03:00:00,0.03626351
2024-02-13 04:00:00,0.04974004
2024-02-13 05:00:00,0.04414799
2024-02-13 06:00:00,0.025681676
2024-02-13 07:00:00,-0.0014180938
2024-02-13 08:00:00,-0.03430385
2024-02-13 09:00:00,-0.070569456
2024-02-13 10:00:00,-0.10079215
2024-02-13 11:00:00,-0.11320278
2024-02-13 12:00:00,-0.10344089
2024-02-13 13:00:00,-0.07121704
2024-02-13 14:00:00,-0.033453986
2024-02-13 15:00:00,-0.0019484456
2024-02-13 16:00:00,0.012757506
2024-02-13 17:00:00,0.010294092
2024-02-13 18:00:00,-0.0052264994
2024-02-13 19:00:00,-0.029450556
2024-02-13 20:00:00,-0.059740815
2024-02-13 21:00:00,-0.09354073
2024-02-13 22:00:00,-0.123123944
2024-02-13 23:00:00,-0.13513905
2024-02-14 00:00:00,-0.123673245
2024-02-14 01:00:00,-0.08733825
2024-02-14 02:00:00,-0.04148633
2024-02-14 03:00:00,-0.0034655354
2024-02-14 04:00:00,0.01789451
2024-02-14 05:00:00,0.020198038
2024-02-14 06:00:00,0.0078132795
2024-02-14 07:00:00,-0.014992138
2024-02-14 08:00:00,-0.044737373
2024-02-14 09:00:00,-0.07939788
2024-02-14 10:00:00,-0.11439285
2024-02-14 11:00:00,-0.13894415
2024-02-14 12:00:00,-0.14418533
2024-02-14 13:00:00,-0.12851666
2024-02-14 14:00:00,-0.09495988
2024-02-14 15:00:00,-0.059787355
2024-02-14 16:00:00,-0.033072233
2024-02-14 17:00:00,-0.022433346
2024-02-14 18:00:00,-0.02666595
2024-02-14 19:00:00,-0.041872513
2024-02-14 20:00:00,-0.06490444
2024-02-14 21:00:00,-0.093118794
2024-02-14 22:00:00,-0.12297418
